Model,Train_Acc,Val_Acc,Test_Acc,Precision,Recall,F1-Score,ROC-AUC,Training Time (s),CV Score,CV Std,Best_Params
Random Forest,1.0,0.9852216748768473,0.9876695437731196,0.9877850722636421,0.9876695437731196,0.9868011536341574,0.9996692647738442,36.56369423866272,0.9876353043494628,0.0035615292291891216,"{'n_estimators': 700, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.3, 'max_depth': 30, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': True}"
Gradient Boosting,1.0,0.9926108374384236,0.9876695437731196,0.9870323049068017,0.9876695437731196,0.9868720974737702,0.9997585823809688,172.98892664909363,0.9897842692162999,0.0034109019127415534,"{'subsample': 1.0, 'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 11, 'learning_rate': 0.05}"
🏆 Ensemble,1.0,0.9926108374384236,0.9876695437731196,0.9870680823466449,0.9876695437731196,0.986878048562419,0.9986367454658833,10.949130296707153,0.0,0.0,"Voting: Gradient Boosting, Random Forest, SVM-RBF"
SVM-RBF,0.9805996472663139,0.9630541871921182,0.9630086313193588,0.9613698772271326,0.9630086313193588,0.961643712597461,0.9863988534290171,6.341566562652588,0.9699873558010687,0.005246246324282224,"{'gamma': 0.5, 'class_weight': 'balanced', 'C': 500}"
Neural Network,0.964021164021164,0.9507389162561576,0.9482120838471023,0.9488471395927384,0.9482120838471023,0.9468408987344581,0.9902240444905464,26.445911169052124,0.9507273585497785,0.006307248979640518,"{'learning_rate_init': 0.005, 'learning_rate': 'constant', 'hidden_layer_sizes': (150, 75), 'batch_size': 'auto', 'alpha': 0.01, 'activation': 'relu'}"
